,link,conference,title
0,http://aclweb.org/anthology/D18-1003,emnlp-2018,declare: debunking fake news and false claims using evidence-aware deep learning
1,http://aclweb.org/anthology/D18-1017,emnlp-2018,adversarial transfer learning for chinese named entity recognition with self-attention mechanism
2,http://aclweb.org/anthology/D18-1020,emnlp-2018,variational sequential labelers for semi-supervised learning
3,http://aclweb.org/anthology/D18-1021,emnlp-2018,joint representation learning of cross-lingual words and entities via attentive distant supervision
4,http://aclweb.org/anthology/D18-1022,emnlp-2018,deep pivot-based modeling for cross-language cross-domain transfer with minimal guidance
5,http://aclweb.org/anthology/D18-1031,emnlp-2018,personalized microblog sentiment classification via adversarial cross-lingual multi-task learning
6,http://aclweb.org/anthology/D18-1035,emnlp-2018,a stable and effective learning strategy for trainable greedy decoding
7,http://aclweb.org/anthology/D18-1055,emnlp-2018,adaptive document retrieval for deep question answering
8,http://aclweb.org/anthology/D18-1063,emnlp-2018,learning unsupervised word translations without adversaries
9,http://aclweb.org/anthology/D18-1065,emnlp-2018,surprisingly easy hard-attention for sequence to sequence learning
10,http://aclweb.org/anthology/D18-1066,emnlp-2018,joint learning for emotion classification and emotion cause detection
11,http://aclweb.org/anthology/D18-1067,emnlp-2018,exploring optimism and pessimism in twitter using deep learning
12,http://aclweb.org/anthology/D18-1068,emnlp-2018,predicting news headline popularity with syntactic and semantic knowledge using multi-task learning
13,http://aclweb.org/anthology/D18-1072,emnlp-2018,auto-dialabel: labeling dialogue data with unsupervised learning
14,http://aclweb.org/anthology/D18-1075,emnlp-2018,an auto-encoder matching model for learning utterance-level semantic dependency in dialogue generation
15,http://aclweb.org/anthology/D18-1079,emnlp-2018,using active learning to expand training data for implicit discourse relation recognition
16,http://aclweb.org/anthology/D18-1080,emnlp-2018,learning to split and rephrase from wikipedia edit history
17,http://aclweb.org/anthology/D18-1083,emnlp-2018,improving reinforcement learning based image captioning with natural language prior
18,http://aclweb.org/anthology/D18-1090,emnlp-2018,automatic essay scoring incorporating rating schema via reinforcement learning
19,http://aclweb.org/anthology/D18-1093,emnlp-2018,hft-cnn: learning hierarchical category structure for multi-label short text categorization
20,http://aclweb.org/anthology/D18-1107,emnlp-2018,a deep neural network sentence level classification method with context information
21,http://aclweb.org/anthology/D18-1138,emnlp-2018,learning sentiment memories for sentiment modification without parallel data
22,http://aclweb.org/anthology/D18-1160,emnlp-2018,unsupervised learning of syntactic structure with invertible neural projections
23,http://aclweb.org/anthology/D18-1165,emnlp-2018,learning a policy for opportunistic active learning
24,http://aclweb.org/anthology/D18-1173,emnlp-2018,"memory, show the way: memory based few shot word representation learning"
25,http://aclweb.org/anthology/D18-1177,emnlp-2018,a probabilistic model for joint learning of word embeddings from texts and images
26,http://aclweb.org/anthology/D18-1178,emnlp-2018,transfer and multi-task learning for nounânoun compound interpretation
27,http://aclweb.org/anthology/D18-1183,emnlp-2018,neural multitask learning for simile recognition
28,http://aclweb.org/anthology/D18-1195,emnlp-2018,learning to learn semantic parsers from natural language supervision
29,http://aclweb.org/anthology/D18-1196,emnlp-2018,deepcx: a transition-based approach for shallow semantic parsing with complex constructional triggers
30,http://aclweb.org/anthology/D18-1202,emnlp-2018,learning scalar adjective intensity from paraphrases
31,http://aclweb.org/anthology/D18-1208,emnlp-2018,content selection in deep learning models of summarization
32,http://aclweb.org/anthology/D18-1210,emnlp-2018,learning context-sensitive convolutional filters for text processing
33,http://aclweb.org/anthology/D18-1211,emnlp-2018,deep relevance ranking using enhanced document-query interactions
34,http://aclweb.org/anthology/D18-1212,emnlp-2018,learning neural representation for clir with adversarial framework
35,http://aclweb.org/anthology/D18-1213,emnlp-2018,ad3: attentive deep document dater
36,http://aclweb.org/anthology/D18-1215,emnlp-2018,deep probabilistic logic: a unifying framework for indirect supervision
37,http://aclweb.org/anthology/D18-1223,emnlp-2018,one-shot relational learning for knowledge graphs
38,http://aclweb.org/anthology/D18-1230,emnlp-2018,learning named entity tagger using domain-specific dictionary
39,http://aclweb.org/anthology/D18-1236,emnlp-2018,logician and orator: learning from the duality between language and knowledge in open domain
40,http://aclweb.org/anthology/D18-1243,emnlp-2018,neural relation extraction via inner-sentence noise reduction and transfer learning
41,http://aclweb.org/anthology/D18-1253,emnlp-2018,subgoal discovery for hierarchical dialogue policy learning
42,http://aclweb.org/anthology/D18-1279,emnlp-2018,learning better internal structure of words for sequence labeling
43,http://aclweb.org/anthology/D18-1281,emnlp-2018,discriminative learning of open-vocabulary object retrieval and localization by negative phrase augmentation
44,http://aclweb.org/anthology/D18-1284,emnlp-2018,learning personas from dialogue with attentive memory networks
45,http://aclweb.org/anthology/D18-1304,emnlp-2018,learning multiview embeddings for assessing dementia
46,http://aclweb.org/anthology/D18-1309,emnlp-2018,deep exhaustive model for nested named entity recognition
47,http://aclweb.org/anthology/D18-1314,emnlp-2018,imitation learning for neural morphological string transduction
48,http://aclweb.org/anthology/D18-1318,emnlp-2018,deep bayesian active learning for natural language processing: results of a large-scale empirical study
49,http://aclweb.org/anthology/D18-1330,emnlp-2018,loss in translation: learning bilingual word mapping with a retrieval criterion
50,http://aclweb.org/anthology/D18-1331,emnlp-2018,learning when to concentrate or divert attention: self-adaptive attention temperature for neural machine translation
51,http://aclweb.org/anthology/D18-1333,emnlp-2018,learning to jointly translate and predict dropped pronouns with a shared reconstruction mechanism
52,http://aclweb.org/anthology/D18-1338,emnlp-2018,training deeper neural machine translation models with transparent attention
53,http://aclweb.org/anthology/D18-1343,emnlp-2018,multi-multi-view learning: multilingual and multi-representation entity typing
54,http://aclweb.org/anthology/D18-1352,emnlp-2018,few-shot and zero-shot multi-label learning for structured label spaces
55,http://aclweb.org/anthology/D18-1353,emnlp-2018,automatic poetry generation with mutual reinforcement learning
56,http://aclweb.org/anthology/D18-1356,emnlp-2018,learning neural templates for text generation
57,http://aclweb.org/anthology/D18-1361,emnlp-2018,playing 20 question game with policy-based reinforcement learning
58,http://aclweb.org/anthology/D18-1363,emnlp-2018,neural transductive learning and beyond: morphological generation in the minimal-resource setting
59,http://aclweb.org/anthology/D18-1370,emnlp-2018,investigating the role of argumentation in the rhetorical analysis of scientific publications with neural multi-task learning models
60,http://aclweb.org/anthology/D18-1373,emnlp-2018,lrmm: learning to recommend with missing modalities
61,http://aclweb.org/anthology/D18-1383,emnlp-2018,adaptive semi-supervised learning for cross-domain sentiment classification
62,http://aclweb.org/anthology/D18-1390,emnlp-2018,legal judgment prediction via topological learning
63,http://aclweb.org/anthology/D18-1397,emnlp-2018,a study of reinforcement learning for neural machine translation
64,http://aclweb.org/anthology/D18-1398,emnlp-2018,meta-learning for low-resource neural machine translation
65,http://aclweb.org/anthology/D18-1411,emnlp-2018,learning latent semantic annotations for grounding natural language to structured data
66,http://aclweb.org/anthology/D18-1416,emnlp-2018,discriminative deep dyna-q: robust planning for dialogue policy learning
67,http://aclweb.org/anthology/D18-1418,emnlp-2018,learning end-to-end goal-oriented dialog with multiple answers
68,http://aclweb.org/anthology/D18-1421,emnlp-2018,paraphrase generation with deep reinforcement learning
69,http://aclweb.org/anthology/D18-1436,emnlp-2018,learning to describe differences between pairs of similar images
70,http://aclweb.org/anthology/D18-1442,emnlp-2018,iterative document representation learning towards summarization with polishing
71,http://aclweb.org/anthology/D18-1445,emnlp-2018,april: interactively learning to summarise by combining active preference learning and reinforcement learning
72,http://aclweb.org/anthology/D18-1447,emnlp-2018,semi-supervised learning for neural keyphrase generation
73,http://aclweb.org/anthology/D18-1451,emnlp-2018,learning to encode text as human-readable summaries using generative adversarial networks
74,http://aclweb.org/anthology/D18-1452,emnlp-2018,joint multitask learning for community question answering using task-specific embeddings
75,http://aclweb.org/anthology/D18-1457,emnlp-2018,exploiting deep representations for neural machine translation
76,http://aclweb.org/anthology/D18-1465,emnlp-2018,deep attentive sentence ordering network
77,http://aclweb.org/anthology/D18-1472,emnlp-2018,is it time to swish? comparing deep learning activation functions across nlp tasks
78,http://aclweb.org/anthology/D18-1474,emnlp-2018,speed reading: learning to read forbackward via shuttle
79,http://aclweb.org/anthology/D18-1481,emnlp-2018,learning universal sentence representations with mean-max attention autoencoder
80,http://aclweb.org/anthology/D18-1486,emnlp-2018,mcapsnet: capsule network for text with multi-task learning
81,http://aclweb.org/anthology/D18-1497,emnlp-2018,learning disentangled representations of texts with application to biomedical abstracts
82,http://aclweb.org/anthology/D18-1500,emnlp-2018,understanding deep learning performance through an examination of test set difficulty: a psychometric case study
83,http://aclweb.org/anthology/D18-1504,emnlp-2018,joint learning for targeted sentiment analysis
84,http://aclweb.org/anthology/D18-1516,emnlp-2018,learning sequence encoders for temporal knowledge graph completion
85,http://aclweb.org/anthology/D18-1518,emnlp-2018,learning word representations with cross-sentence dependency for end-to-end co-reference resolution
86,http://aclweb.org/anthology/D18-1521,emnlp-2018,learning gender-neutral word embeddings
87,http://aclweb.org/anthology/D18-1522,emnlp-2018,learning concept abstractness using weak supervision
88,http://aclweb.org/anthology/D18-1538,emnlp-2018,towards semi-supervised learning for deep semantic role labeling
89,http://aclweb.org/anthology/D18-2019,emnlp-2018,aplenty: annotation tool for creating high-quality datasets using active and proactive learning
90,http://aclweb.org/anthology/P18-1003,acl-2018,unsupervised learning of distributional relation vectors
91,http://aclweb.org/anthology/P18-1024,acl-2018,linknbed: multi-graph representation learning with entity linkage
92,http://aclweb.org/anthology/P18-1026,acl-2018,graph-to-sequence learning using gated graph neural networks
93,http://aclweb.org/anthology/P18-1029,acl-2018,zero-shot learning of classifiers from natural language quantification
94,http://aclweb.org/anthology/P18-1051,acl-2018,textual deconvolution saliency (tds) : a deep tool box for linguistic analysis
95,http://aclweb.org/anthology/P18-1053,acl-2018,deep reinforcement learning for chinese zero pronoun resolution
96,http://aclweb.org/anthology/P18-1061,acl-2018,neural document summarization by jointly learning to score and select sentences
97,http://aclweb.org/anthology/P18-1073,acl-2018,a robust self-learning method for fully unsupervised cross-lingual mappings of word embeddings
98,http://aclweb.org/anthology/P18-1083,acl-2018,no metrics are perfect: adversarial reward learning for visual storytelling
99,http://aclweb.org/anthology/P18-1084,acl-2018,bridging languages through images with deep partial canonical correlation analysis
100,http://aclweb.org/anthology/P18-1090,acl-2018,unpaired sentiment-to-sentiment translation: a cycled reinforcement learning approach
101,http://aclweb.org/anthology/P18-1091,acl-2018,discourse marker augmented network with reinforcement learning for natural language inference
102,http://aclweb.org/anthology/P18-1096,acl-2018,strong baselines for neural semi-supervised learning under domain shift
103,http://aclweb.org/anthology/P18-1097,acl-2018,fluency boost learning and inference for neural grammatical error correction
104,http://aclweb.org/anthology/P18-1100,acl-2018,tdnn: a two-stage deep neural network for prompt-independent automated essay scoring
105,http://aclweb.org/anthology/P18-1101,acl-2018,unsupervised discrete sentence representation learning for interpretable neural dialog generation
106,http://aclweb.org/anthology/P18-1102,acl-2018,learning to control the specificity in neural response generation
107,http://aclweb.org/anthology/P18-1103,acl-2018,multi-turn response selection for chatbots with deep attention matching network
108,http://aclweb.org/anthology/P18-1120,acl-2018,learning prototypical goal activities for locations
109,http://aclweb.org/anthology/P18-1141,acl-2018,embedding learning through multilingual concept induction
110,http://aclweb.org/anthology/P18-1152,acl-2018,learning to write with cooperative discriminators
111,http://aclweb.org/anthology/P18-1154,acl-2018,learning to generate move-by-move commentary for chess games from large-scale social forum data
112,http://aclweb.org/anthology/P18-1165,acl-2018,reliability and learnability of human bandit feedback for sequence-to-sequence reinforcement learning
113,http://aclweb.org/anthology/P18-1169,acl-2018,improving a neural semantic parser by counterfactual learning from human bandit feedback
114,http://aclweb.org/anthology/P18-1172,acl-2018,batch is not heavy: learning word representations from all samples
115,http://aclweb.org/anthology/P18-1174,acl-2018,learning how to actively learn: a deep imitation learning approach
116,http://aclweb.org/anthology/P18-1181,acl-2018,"deep-speare: a joint neural model of poetic language, meter and rhyme"
117,http://aclweb.org/anthology/P18-1199,acl-2018,robust distant supervision relation extraction via deep reinforcement learning
118,http://aclweb.org/anthology/P18-1200,acl-2018,interpretable and compositional relation learning by joint training with an autoencoder
119,http://aclweb.org/anthology/P18-1201,acl-2018,zero-shot transfer learning for event extraction
120,http://aclweb.org/anthology/P18-1203,acl-2018,deep dyna-q: integrating planning for task-completion dialogue policy learning
121,http://aclweb.org/anthology/P18-1204,acl-2018,learning to ask questions in open-domain conversational systems with typed decoders
122,http://aclweb.org/anthology/P18-1214,acl-2018,a deep relevance model for zero-shot document filtering
123,http://aclweb.org/anthology/P18-1229,acl-2018,end-to-end reinforcement learning for automatic taxonomy induction
124,http://aclweb.org/anthology/P18-1232,acl-2018,learning domain-sensitive and sentiment-aware word embeddings
125,http://aclweb.org/anthology/P18-1235,acl-2018,a helping hand: transfer learning for deep sentiment analysis
126,http://aclweb.org/anthology/P18-1239,acl-2018,learning translations via images with a massively multilingual image dataset
127,http://aclweb.org/anthology/P18-1243,acl-2018,interactive language acquisition with one-shot visual concept learning through a conversational game
128,http://aclweb.org/anthology/P18-1255,acl-2018,learning to ask good questions: ranking clarification questions using neural expected value of perfect information
129,http://aclweb.org/anthology/P18-2001,acl-2018,continuous learning in a hierarchical multiscale neural network
130,http://aclweb.org/anthology/P18-2003,acl-2018,deep rnns encode soft hierarchical syntax
131,http://aclweb.org/anthology/P18-2008,acl-2018,active learning for deep semantic parsing
132,http://aclweb.org/anthology/P18-2009,acl-2018,learning thematic similarity metric from article sections using triplet networks
133,http://aclweb.org/anthology/P18-2017,acl-2018,neural coreference resolution with deep biaffine attention by joint mention detection and mention clustering
134,http://aclweb.org/anthology/P18-2030,acl-2018,content-based popularity prediction of online petitions using a deep regression model
135,http://aclweb.org/anthology/P18-2034,acl-2018,transfer learning for context-aware question matching in information-seeking conversations in e-commerce
136,http://aclweb.org/anthology/P18-2035,acl-2018,a multi-task approach to learning multilingual representations
137,http://aclweb.org/anthology/P18-2052,acl-2018,learning from chunk-based feedback in neural machine translation
138,http://aclweb.org/anthology/P18-2067,acl-2018,learning matching models with weak supervision for response selection in retrieval-based chatbots
139,http://aclweb.org/anthology/P18-2085,acl-2018,learning with structured representations for negation scope extraction
140,http://aclweb.org/anthology/P18-2086,acl-2018,end-task oriented textual entailment via deep explorations of inter-sentence interactions
141,http://aclweb.org/anthology/P18-2091,acl-2018,unsupervised learning of style-sensitive word vectors
142,http://aclweb.org/anthology/P18-2104,acl-2018,adaptive knowledge sharing in multi-task learning: improving low-resource neural machine translation
143,http://aclweb.org/anthology/P18-2107,acl-2018,learning cross-lingual distributed logical representations for semantic parsing
144,http://aclweb.org/anthology/P18-2113,acl-2018,learning simplifications for specific target audiences
145,http://aclweb.org/anthology/P18-3003,acl-2018,learning-based composite metrics for improved caption evaluation
146,http://aclweb.org/anthology/P18-3021,acl-2018,automatic spelling correction for resource-scarce languages using deep learning
147,http://aclweb.org/anthology/P18-4007,acl-2018,nextgen aml: distributed deep learning based language technologies to augment anti money laundering investigation
148,http://aclweb.org/anthology/P18-4021,acl-2018,deeppavlov: open-source library for dialogue systems
149,http://aclweb.org/anthology/P18-5003,acl-2018,variational inference and deep generative models
150,http://aclweb.org/anthology/P18-5007,acl-2018,deep reinforcement learning for nlp
